[2026-03-10 17:11:39,030] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:11:39,052] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:11:41,870] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-10 17:11:55,963] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:11:55,985] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:12:04,620] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:12:04,623] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:32:58,671] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-10 17:33:09,646] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:33:09,678] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:33:11,171] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:33:11,174] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:33:14,905] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:33:14,908] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:33:27,000] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:33:27,003] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:33:27,100] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:33:27,103] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:47:55,486] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:47:55,520] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:48:44,880] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:48:44,884] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:48:45,580] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:48:45,601] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:48:46,426] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:48:46,429] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:48:51,102] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183
[2026-03-10 17:48:51,105] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/transaction-history/57182898000183/
[2026-03-10 17:49:45,547] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183
[2026-03-10 17:49:45,550] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183/
[2026-03-10 17:50:19,814] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183
[2026-03-10 17:50:19,818] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183/
[2026-03-10 17:50:24,027] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/cash-flow/57182898000183
